# delta = 1.000, g = 0.500, generator = white          
# ====================================================================================
#    s              E            dE/ds        ||eta2B||      ||fod||       ||Gammaod||    
# ====================================================================================

5.35000000     1.41151161     -0.00001782    0.00491692     0.00000000     0.01508476     
5.40000000     1.41151072     -0.00001638    0.00471281     0.00000000     0.01445979     
5.45000000     1.41150990     -0.00001505    0.00451718     0.00000000     0.01386071     
5.50000000     1.41150915     -0.00001382    0.00432967     0.00000000     0.01328644     
5.55000000     1.41150846     -0.00001270    0.00414994     0.00000000     0.01273596     
5.60000000     1.41150783     -0.00001167    0.00397769     0.00000000     0.01220828     
5.65000000     1.41150724     -0.00001072    0.00381258     0.00000000     0.01170246     
5.70000000     1.41150671     -0.00000985    0.00365433     0.00000000     0.01121759     
5.75000000     1.41150621     -0.00000905    0.00350266     0.00000000     0.01075281     
5.80000000     1.41150576     -0.00000832    0.00335728     0.00000000     0.01030728     
5.85000000     1.41150534     -0.00000764    0.00321794     0.00000000     0.00988021     
5.90000000     1.41150496     -0.00000702    0.00308439     0.00000000     0.00947082     
5.95000000     1.41150461     -0.00000645    0.00295638     0.00000000     0.00907840     
6.00000000     1.41150429     -0.00000593    0.00283368     0.00000000     0.00870223     
6.05000000     1.41150399     -0.00000545    0.00271608     0.00000000     0.00834165     
6.10000000     1.41150372     -0.00000500    0.00260337     0.00000000     0.00799600     
6.15000000     1.41150347     -0.00000460    0.00249533     0.00000000     0.00766468     
6.20000000     1.41150324     -0.00000422    0.00239178     0.00000000     0.00734708     
6.25000000     1.41150303     -0.00000388    0.00229252     0.00000000     0.00704264     
6.30000000     1.41150284     -0.00000357    0.00219739     0.00000000     0.00675081     
6.35000000     1.41150266     -0.00000328    0.00210621     0.00000000     0.00647107     
6.40000000     1.41150249     -0.00000301    0.00201881     0.00000000     0.00620292     
6.45000000     1.41150234     -0.00000277    0.00193504     0.00000000     0.00594588     
6.50000000     1.41150220     -0.00000254    0.00185475     0.00000000     0.00569949     
6.55000000     1.41150208     -0.00000234    0.00177779     0.00000000     0.00546331     
6.60000000     1.41150196     -0.00000215    0.00170402     0.00000000     0.00523691     
6.65000000     1.41150185     -0.00000197    0.00163332     0.00000000     0.00501989     
6.70000000     1.41150175     -0.00000181    0.00156555     0.00000000     0.00481187     
6.75000000     1.41150166     -0.00000166    0.00150059     0.00000000     0.00461246     
6.80000000     1.41150158     -0.00000153    0.00143833     0.00000000     0.00442132     
6.85000000     1.41150150     -0.00000140    0.00137866     0.00000000     0.00423809     
6.90000000     1.41150143     -0.00000129    0.00132146     0.00000000     0.00406246     
6.95000000     1.41150137     -0.00000119    0.00126663     0.00000000     0.00389411     
7.00000000     1.41150131     -0.00000109    0.00121408     0.00000000     0.00373273     
7.05000000     1.41150126     -0.00000100    0.00116371     0.00000000     0.00357804     
7.10000000     1.41150121     -0.00000092    0.00111543     0.00000000     0.00342975     
7.15000000     1.41150116     -0.00000085    0.00106916     0.00000000     0.00328762     
7.20000000     1.41150112     -0.00000078    0.00102480     0.00000000     0.00315137     
7.25000000     1.41150108     -0.00000071    0.00098229     0.00000000     0.00302076     
7.30000000     1.41150104     -0.00000066    0.00094154     0.00000000     0.00289557     
7.35000000     1.41150101     -0.00000060    0.00090248     0.00000000     0.00277557     
7.40000000     1.41150098     -0.00000055    0.00086504     0.00000000     0.00266054     
7.45000000     1.41150095     -0.00000051    0.00082916     0.00000000     0.00255028     
7.50000000     1.41150093     -0.00000047    0.00079476     0.00000000     0.00244458     
7.55000000     1.41150090     -0.00000043    0.00076179     0.00000000     0.00234327     
7.60000000     1.41150088     -0.00000039    0.00073019     0.00000000     0.00224615     
7.65000000     1.41150086     -0.00000036    0.00069990     0.00000000     0.00215306     
7.70000000     1.41150084     -0.00000033    0.00067087     0.00000000     0.00206382     
