#   delta = 1.000, g = 0.600, ds = 0.010
#   s             E             dE       ||Gammaod||    ||eta2B||    

2.2000000     1.2734773     -0.0062485    0.2923226     0.0931450     
2.2100000     1.2734156     -0.0061503    0.2900224     0.0924071     
2.2200000     1.2733549     -0.0060537    0.2877403     0.0916751     
2.2300000     1.2732951     -0.0059585    0.2854761     0.0909489     
2.2400000     1.2732362     -0.0058649    0.2832299     0.0902284     
2.2500000     1.2731783     -0.0057727    0.2810013     0.0895138     
2.2600000     1.2731213     -0.0056820    0.2787903     0.0888047     
2.2700000     1.2730651     -0.0055927    0.2765968     0.0881014     
2.2800000     1.2730099     -0.0055048    0.2744205     0.0874036     
2.2900000     1.2729555     -0.0054183    0.2722614     0.0867114     
2.3000000     1.2729020     -0.0053332    0.2701193     0.0860246     
2.3100000     1.2728493     -0.0052494    0.2679941     0.0853434     
2.3200000     1.2727975     -0.0051669    0.2658857     0.0846675     
2.3300000     1.2727464     -0.0050857    0.2637938     0.0839970     
2.3400000     1.2726962     -0.0050058    0.2617185     0.0833319     
2.3500000     1.2726467     -0.0049272    0.2596595     0.0826720     
2.3600000     1.2725981     -0.0048498    0.2576167     0.0820174     
2.3700000     1.2725502     -0.0047736    0.2555900     0.0813680     
2.3800000     1.2725030     -0.0046986    0.2535793     0.0807238     
2.3900000     1.2724566     -0.0046248    0.2515844     0.0800846     
2.4000000     1.2724109     -0.0045521    0.2496053     0.0794506     
2.4100000     1.2723660     -0.0044806    0.2476417     0.0788215     
2.4200000     1.2723217     -0.0044102    0.2456936     0.0781975     
2.4300000     1.2722782     -0.0043409    0.2437609     0.0775785     
2.4400000     1.2722353     -0.0042727    0.2418434     0.0769643     
2.4500000     1.2721931     -0.0042056    0.2399409     0.0763551     
2.4600000     1.2721516     -0.0041395    0.2380535     0.0757506     
2.4700000     1.2721107     -0.0040745    0.2361809     0.0751510     
2.4800000     1.2720704     -0.0040105    0.2343231     0.0745562     
2.4900000     1.2720308     -0.0039475    0.2324799     0.0739660     
2.5000000     1.2719918     -0.0038855    0.2306512     0.0733806     
2.5100000     1.2719535     -0.0038245    0.2288369     0.0727998     
2.5200000     1.2719157     -0.0037644    0.2270369     0.0722236     
2.5300000     1.2718785     -0.0037053    0.2252511     0.0716520     
2.5400000     1.2718419     -0.0036471    0.2234793     0.0710849     
2.5500000     1.2718059     -0.0035898    0.2217215     0.0705223     
2.5600000     1.2717704     -0.0035334    0.2199776     0.0699642     
2.5700000     1.2717355     -0.0034779    0.2182473     0.0694106     
2.5800000     1.2717012     -0.0034233    0.2165307     0.0688613     
2.5900000     1.2716674     -0.0033696    0.2148276     0.0683164     
2.6000000     1.2716341     -0.0033166    0.2131379     0.0677758     
2.6100000     1.2716014     -0.0032645    0.2114615     0.0672395     
2.6200000     1.2715691     -0.0032133    0.2097983     0.0667074     
2.6300000     1.2715374     -0.0031628    0.2081482     0.0661796     
2.6400000     1.2715062     -0.0031131    0.2065110     0.0656560     
2.6500000     1.2714754     -0.0030643    0.2048868     0.0651365     
2.6600000     1.2714452     -0.0030161    0.2032753     0.0646212     
2.6700000     1.2714154     -0.0029688    0.2016766     0.0641099     
2.6800000     1.2713861     -0.0029222    0.2000904     0.0636027     
2.6900000     1.2713572     -0.0028763    0.1985167     0.0630995     
2.7000000     1.2713288     -0.0028311    0.1969554     0.0626003     
2.7100000     1.2713008     -0.0027866    0.1954063     0.0621051     
2.7200000     1.2712733     -0.0027429    0.1938695     0.0616138     
2.7300000     1.2712462     -0.0026998    0.1923447     0.0611264     
2.7400000     1.2712196     -0.0026574    0.1908320     0.0606429     
2.7500000     1.2711933     -0.0026157    0.1893311     0.0601632     
2.7600000     1.2711675     -0.0025746    0.1878421     0.0596873     
2.7700000     1.2711421     -0.0025342    0.1863648     0.0592152     
2.7800000     1.2711171     -0.0024944    0.1848991     0.0587468     
2.7900000     1.2710924     -0.0024552    0.1834449     0.0582821     
2.8000000     1.2710682     -0.0024167    0.1820022     0.0578212     
2.8100000     1.2710443     -0.0023788    0.1805708     0.0573638     
2.8200000     1.2710208     -0.0023414    0.1791507     0.0569101     
2.8300000     1.2709977     -0.0023046    0.1777417     0.0564601     
2.8400000     1.2709750     -0.0022685    0.1763439     0.0560135     
2.8500000     1.2709526     -0.0022328    0.1749570     0.0555705     
2.8600000     1.2709305     -0.0021978    0.1735811     0.0551311     
2.8700000     1.2709088     -0.0021633    0.1722159     0.0546951     
2.8800000     1.2708875     -0.0021293    0.1708616     0.0542626     
2.8900000     1.2708664     -0.0020959    0.1695178     0.0538335     
2.9000000     1.2708458     -0.0020630    0.1681847     0.0534078     
2.9100000     1.2708254     -0.0020306    0.1668620     0.0529855     
2.9200000     1.2708053     -0.0019987    0.1655497     0.0525665     
2.9300000     1.2707856     -0.0019673    0.1642478     0.0521508     
2.9400000     1.2707662     -0.0019365    0.1629561     0.0517385     
2.9500000     1.2707471     -0.0019061    0.1616745     0.0513294     
2.9600000     1.2707282     -0.0018761    0.1604031     0.0509235     
2.9700000     1.2707097     -0.0018467    0.1591416     0.0505209     
2.9800000     1.2706915     -0.0018177    0.1578901     0.0501215     
2.9900000     1.2706736     -0.0017892    0.1566484     0.0497252     
3.0000000     1.2706559     -0.0017611    0.1554164     0.0493321     
3.0100000     1.2706385     -0.0017334    0.1541942     0.0489421     
3.0200000     1.2706214     -0.0017062    0.1529815     0.0485551     
3.0300000     1.2706046     -0.0016794    0.1517785     0.0481713     
3.0400000     1.2705880     -0.0016531    0.1505848     0.0477905     
3.0500000     1.2705717     -0.0016271    0.1494006     0.0474127     
3.0600000     1.2705556     -0.0016016    0.1482257     0.0470379     
3.0700000     1.2705398     -0.0015764    0.1470600     0.0466660     
3.0800000     1.2705242     -0.0015517    0.1459034     0.0462971     
3.0900000     1.2705089     -0.0015273    0.1447560     0.0459312     
3.1000000     1.2704938     -0.0015034    0.1436176     0.0455681     
3.1100000     1.2704790     -0.0014798    0.1424882     0.0452079     
3.1200000     1.2704644     -0.0014565    0.1413676     0.0448506     
3.1300000     1.2704500     -0.0014337    0.1402558     0.0444961     
3.1400000     1.2704359     -0.0014112    0.1391528     0.0441444     
3.1500000     1.2704219     -0.0013890    0.1380585     0.0437955     
3.1600000     1.2704082     -0.0013672    0.1369728     0.0434493     
3.1700000     1.2703947     -0.0013458    0.1358956     0.0431059     
3.1800000     1.2703815     -0.0013246    0.1348268     0.0427652     
3.1900000     1.2703684     -0.0013038    0.1337665     0.0424272     
3.2000000     1.2703555     -0.0012834    0.1327145     0.0420919     
3.2100000     1.2703428     -0.0012632    0.1316708     0.0417593     
3.2200000     1.2703304     -0.0012434    0.1306353     0.0414292     
3.2300000     1.2703181     -0.0012239    0.1296080     0.0411018     
3.2400000     1.2703060     -0.0012047    0.1285887     0.0407770     
3.2500000     1.2702941     -0.0011858    0.1275774     0.0404548     
3.2600000     1.2702824     -0.0011672    0.1265741     0.0401351     
3.2700000     1.2702709     -0.0011488    0.1255787     0.0398179     
3.2800000     1.2702596     -0.0011308    0.1245911     0.0395033     
3.2900000     1.2702484     -0.0011131    0.1236113     0.0391911     
3.3000000     1.2702374     -0.0010956    0.1226391     0.0388814     
3.3100000     1.2702266     -0.0010784    0.1216746     0.0385742     
3.3200000     1.2702160     -0.0010615    0.1207177     0.0382694     
3.3300000     1.2702055     -0.0010448    0.1197684     0.0379670     
3.3400000     1.2701952     -0.0010284    0.1188265     0.0376670     
3.3500000     1.2701851     -0.0010123    0.1178919     0.0373694     
3.3600000     1.2701751     -0.0009964    0.1169648     0.0370742     
3.3700000     1.2701652     -0.0009807    0.1160449     0.0367812     
3.3800000     1.2701556     -0.0009654    0.1151323     0.0364906     
3.3900000     1.2701460     -0.0009502    0.1142268     0.0362023     
3.4000000     1.2701367     -0.0009353    0.1133285     0.0359163     
3.4100000     1.2701274     -0.0009206    0.1124372     0.0356325     
3.4200000     1.2701184     -0.0009062    0.1115529     0.0353510     
3.4300000     1.2701094     -0.0008919    0.1106756     0.0350717     
3.4400000     1.2701006     -0.0008779    0.1098052     0.0347947     
3.4500000     1.2700920     -0.0008642    0.1089416     0.0345198     
3.4600000     1.2700834     -0.0008506    0.1080849     0.0342471     
3.4700000     1.2700750     -0.0008373    0.1072348     0.0339765     
3.4800000     1.2700668     -0.0008241    0.1063914     0.0337081     
3.4900000     1.2700586     -0.0008112    0.1055547     0.0334419     
3.5000000     1.2700506     -0.0007985    0.1047246     0.0331777     
3.5100000     1.2700428     -0.0007859    0.1039009     0.0329156     
3.5200000     1.2700350     -0.0007736    0.1030838     0.0326556     
3.5300000     1.2700274     -0.0007614    0.1022731     0.0323976     
3.5400000     1.2700199     -0.0007495    0.1014687     0.0321417     
3.5500000     1.2700125     -0.0007377    0.1006707     0.0318878     
3.5600000     1.2700052     -0.0007262    0.0998789     0.0316360     
3.5700000     1.2699980     -0.0007148    0.0990934     0.0313861     
3.5800000     1.2699910     -0.0007035    0.0983140     0.0311382     
3.5900000     1.2699841     -0.0006925    0.0975408     0.0308922     
3.6000000     1.2699772     -0.0006816    0.0967737     0.0306482     
3.6100000     1.2699705     -0.0006709    0.0960126     0.0304062     
3.6200000     1.2699639     -0.0006604    0.0952574     0.0301660     
3.6300000     1.2699574     -0.0006500    0.0945082     0.0299278     
3.6400000     1.2699510     -0.0006398    0.0937649     0.0296914     
3.6500000     1.2699447     -0.0006298    0.0930275     0.0294569     
3.6600000     1.2699384     -0.0006199    0.0922958     0.0292242     
3.6700000     1.2699323     -0.0006102    0.0915699     0.0289934     
3.6800000     1.2699263     -0.0006006    0.0908497     0.0287645     
3.6900000     1.2699204     -0.0005912    0.0901352     0.0285373     
3.7000000     1.2699146     -0.0005819    0.0894263     0.0283119     
3.7100000     1.2699088     -0.0005728    0.0887229     0.0280883     
3.7200000     1.2699032     -0.0005638    0.0880251     0.0278665     
3.7300000     1.2698976     -0.0005549    0.0873328     0.0276465     
3.7400000     1.2698921     -0.0005462    0.0866459     0.0274281     
3.7500000     1.2698868     -0.0005377    0.0859644     0.0272115     
3.7600000     1.2698815     -0.0005292    0.0852883     0.0269967     
3.7700000     1.2698762     -0.0005209    0.0846175     0.0267835     
3.7800000     1.2698711     -0.0005128    0.0839519     0.0265720     
3.7900000     1.2698661     -0.0005047    0.0832916     0.0263622     
3.8000000     1.2698611     -0.0004968    0.0826365     0.0261540     
3.8100000     1.2698562     -0.0004890    0.0819865     0.0259475     
3.8200000     1.2698514     -0.0004813    0.0813417     0.0257426     
3.8300000     1.2698466     -0.0004738    0.0807019     0.0255393     
3.8400000     1.2698419     -0.0004663    0.0800672     0.0253377     
3.8500000     1.2698373     -0.0004590    0.0794374     0.0251376     
3.8600000     1.2698328     -0.0004518    0.0788126     0.0249391     
3.8700000     1.2698284     -0.0004447    0.0781927     0.0247422     
3.8800000     1.2698240     -0.0004377    0.0775777     0.0245469     
3.8900000     1.2698197     -0.0004309    0.0769675     0.0243530     
3.9000000     1.2698154     -0.0004241    0.0763621     0.0241608     
3.9100000     1.2698112     -0.0004175    0.0757615     0.0239700     
3.9200000     1.2698071     -0.0004109    0.0751655     0.0237808     
3.9300000     1.2698031     -0.0004045    0.0745743     0.0235930     
3.9400000     1.2697991     -0.0003981    0.0739877     0.0234067     
3.9500000     1.2697952     -0.0003919    0.0734058     0.0232219     
3.9600000     1.2697913     -0.0003857    0.0728284     0.0230386     
3.9700000     1.2697875     -0.0003797    0.0722556     0.0228567     
3.9800000     1.2697838     -0.0003737    0.0716872     0.0226763     
3.9900000     1.2697801     -0.0003678    0.0711233     0.0224973     
4.0000000     1.2697765     -0.0003621    0.0705639     0.0223196     
4.0100000     1.2697729     -0.0003564    0.0700089     0.0221434     
4.0200000     1.2697694     -0.0003508    0.0694582     0.0219686     
4.0300000     1.2697659     -0.0003453    0.0689118     0.0217952     
4.0400000     1.2697625     -0.0003399    0.0683698     0.0216232     
4.0500000     1.2697592     -0.0003345    0.0678320     0.0214525     
4.0600000     1.2697559     -0.0003293    0.0672984     0.0212831     
4.0700000     1.2697526     -0.0003241    0.0667691     0.0211151     
4.0800000     1.2697494     -0.0003190    0.0662438     0.0209484     
4.0900000     1.2697463     -0.0003140    0.0657228     0.0207831     
4.1000000     1.2697432     -0.0003091    0.0652058     0.0206190     
4.1100000     1.2697402     -0.0003043    0.0646929     0.0204562     
4.1200000     1.2697372     -0.0002995    0.0641840     0.0202948     
4.1300000     1.2697342     -0.0002948    0.0636791     0.0201346     
4.1400000     1.2697313     -0.0002902    0.0631782     0.0199756     
4.1500000     1.2697285     -0.0002856    0.0626812     0.0198180     
4.1600000     1.2697256     -0.0002811    0.0621882     0.0196615     
4.1700000     1.2697229     -0.0002767    0.0616990     0.0195064     
4.1800000     1.2697202     -0.0002724    0.0612137     0.0193524     
4.1900000     1.2697175     -0.0002681    0.0607321     0.0191996     
4.2000000     1.2697148     -0.0002639    0.0602544     0.0190481     
4.2100000     1.2697122     -0.0002598    0.0597804     0.0188978     
4.2200000     1.2697097     -0.0002557    0.0593102     0.0187486     
4.2300000     1.2697072     -0.0002517    0.0588436     0.0186006     
4.2400000     1.2697047     -0.0002477    0.0583807     0.0184538     
4.2500000     1.2697022     -0.0002438    0.0579215     0.0183082     
4.2600000     1.2696998     -0.0002400    0.0574658     0.0181637     
4.2700000     1.2696975     -0.0002362    0.0570138     0.0180203     
4.2800000     1.2696952     -0.0002325    0.0565653     0.0178781     
4.2900000     1.2696929     -0.0002289    0.0561203     0.0177370     
4.3000000     1.2696906     -0.0002253    0.0556788     0.0175970     
4.3100000     1.2696884     -0.0002218    0.0552408     0.0174581     
