# delta = 1.000, g = 0.500, generator = white          
# ====================================================================================
#    s              E            dE/ds        ||eta2B||      ||fod||       ||Gammaod||    
# ====================================================================================

0.83000000     1.43494985     -0.03606638    0.22345276     0.00000000     0.70281794     
0.83500000     1.43477012     -0.03576597    0.22251812     0.00000000     0.69989053     
0.84000000     1.43459188     -0.03546808    0.22158743     0.00000000     0.69697551     
0.84500000     1.43441513     -0.03517268    0.22066065     0.00000000     0.69407281     
0.85000000     1.43423986     -0.03487977    0.21973778     0.00000000     0.69118238     
0.85500000     1.43406604     -0.03458931    0.21881880     0.00000000     0.68830417     
0.86000000     1.43389367     -0.03430128    0.21790369     0.00000000     0.68543812     
0.86500000     1.43372274     -0.03401566    0.21699243     0.00000000     0.68258418     
0.87000000     1.43355323     -0.03373244    0.21608501     0.00000000     0.67974230     
0.87500000     1.43338513     -0.03345159    0.21518141     0.00000000     0.67691242     
0.88000000     1.43321843     -0.03317310    0.21428162     0.00000000     0.67409450     
0.88500000     1.43305311     -0.03289693    0.21338562     0.00000000     0.67128846     
0.89000000     1.43288918     -0.03262308    0.21249339     0.00000000     0.66849428     
0.89500000     1.43272661     -0.03235153    0.21160491     0.00000000     0.66571189     
0.90000000     1.43256539     -0.03208224    0.21072018     0.00000000     0.66294123     
0.90500000     1.43240551     -0.03181521    0.20983917     0.00000000     0.66018227     
0.91000000     1.43224697     -0.03155042    0.20896187     0.00000000     0.65743495     
0.91500000     1.43208974     -0.03128784    0.20808826     0.00000000     0.65469921     
0.92000000     1.43193382     -0.03102747    0.20721833     0.00000000     0.65197501     
0.92500000     1.43177920     -0.03076927    0.20635206     0.00000000     0.64926230     
0.93000000     1.43162587     -0.03051323    0.20548944     0.00000000     0.64656102     
0.93500000     1.43147381     -0.03025933    0.20463044     0.00000000     0.64387113     
0.94000000     1.43132302     -0.03000756    0.20377506     0.00000000     0.64119257     
0.94500000     1.43117348     -0.02975790    0.20292329     0.00000000     0.63852530     
0.95000000     1.43102519     -0.02951032    0.20207509     0.00000000     0.63586926     
0.95500000     1.43087813     -0.02926481    0.20123046     0.00000000     0.63322442     
0.96000000     1.43073229     -0.02902136    0.20038939     0.00000000     0.63059071     
0.96500000     1.43058767     -0.02877995    0.19955186     0.00000000     0.62796809     
0.97000000     1.43044425     -0.02854055    0.19871785     0.00000000     0.62535651     
0.97500000     1.43030202     -0.02830316    0.19788734     0.00000000     0.62275593     
0.98000000     1.43016098     -0.02806775    0.19706034     0.00000000     0.62016629     
0.98500000     1.43002111     -0.02783430    0.19623680     0.00000000     0.61758755     
0.99000000     1.42988240     -0.02760282    0.19541674     0.00000000     0.61501966     
0.99500000     1.42974484     -0.02737326    0.19460012     0.00000000     0.61246257     
1.00000000     1.42960843     -0.02714562    0.19378694     0.00000000     0.60991624     
1.00500000     1.42947316     -0.02691989    0.19297717     0.00000000     0.60738062     
1.01000000     1.42933901     -0.02669604    0.19217081     0.00000000     0.60485566     
1.01500000     1.42920597     -0.02647407    0.19136784     0.00000000     0.60234132     
1.02000000     1.42907404     -0.02625395    0.19056825     0.00000000     0.59983754     
1.02500000     1.42894321     -0.02603567    0.18977202     0.00000000     0.59734429     
1.03000000     1.42881347     -0.02581921    0.18897914     0.00000000     0.59486152     
1.03500000     1.42868480     -0.02560456    0.18818959     0.00000000     0.59238918     
1.04000000     1.42855720     -0.02539170    0.18740335     0.00000000     0.58992723     
1.04500000     1.42843067     -0.02518062    0.18662043     0.00000000     0.58747562     
1.05000000     1.42830518     -0.02497131    0.18584079     0.00000000     0.58503431     
1.05500000     1.42818074     -0.02476374    0.18506443     0.00000000     0.58260325     
1.06000000     1.42805734     -0.02455791    0.18429134     0.00000000     0.58018240     
1.06500000     1.42793496     -0.02435379    0.18352149     0.00000000     0.57777171     
1.07000000     1.42781359     -0.02415138    0.18275488     0.00000000     0.57537115     
1.07500000     1.42769324     -0.02395066    0.18199149     0.00000000     0.57298066     
1.08000000     1.42757388     -0.02375161    0.18123131     0.00000000     0.57060020     
1.08500000     1.42745552     -0.02355423    0.18047432     0.00000000     0.56822973     
1.09000000     1.42733814     -0.02335849    0.17972051     0.00000000     0.56586921     
1.09500000     1.42722174     -0.02316439    0.17896987     0.00000000     0.56351859     
1.10000000     1.42710630     -0.02297191    0.17822238     0.00000000     0.56117784     
1.10500000     1.42699182     -0.02278103    0.17747804     0.00000000     0.55884690     
1.11000000     1.42687830     -0.02259175    0.17673682     0.00000000     0.55652573     
1.11500000     1.42676572     -0.02240405    0.17599871     0.00000000     0.55421430     
1.12000000     1.42665407     -0.02221791    0.17526371     0.00000000     0.55191256     
1.12500000     1.42654335     -0.02203332    0.17453179     0.00000000     0.54962047     
1.13000000     1.42643355     -0.02185028    0.17380294     0.00000000     0.54733799     
1.13500000     1.42632466     -0.02166876    0.17307716     0.00000000     0.54506507     
1.14000000     1.42621668     -0.02148876    0.17235442     0.00000000     0.54280168     
1.14500000     1.42610959     -0.02131026    0.17163472     0.00000000     0.54054777     
1.15000000     1.42600340     -0.02113325    0.17091804     0.00000000     0.53830331     
1.15500000     1.42589808     -0.02095771    0.17020437     0.00000000     0.53606825     
1.16000000     1.42579364     -0.02078364    0.16949370     0.00000000     0.53384255     
1.16500000     1.42569007     -0.02061102    0.16878601     0.00000000     0.53162617     
1.17000000     1.42558736     -0.02043983    0.16808129     0.00000000     0.52941908     
1.17500000     1.42548550     -0.02027008    0.16737953     0.00000000     0.52722122     
1.18000000     1.42538448     -0.02010174    0.16668072     0.00000000     0.52503257     
1.18500000     1.42528431     -0.01993480    0.16598484     0.00000000     0.52285308     
1.19000000     1.42518497     -0.01976926    0.16529188     0.00000000     0.52068272     
1.19500000     1.42508645     -0.01960510    0.16460183     0.00000000     0.51852144     
1.20000000     1.42498875     -0.01944230    0.16391468     0.00000000     0.51636920     
1.20500000     1.42489186     -0.01928086    0.16323041     0.00000000     0.51422597     
1.21000000     1.42479578     -0.01912077    0.16254901     0.00000000     0.51209171     
1.21500000     1.42470049     -0.01896201    0.16187047     0.00000000     0.50996638     
1.22000000     1.42460600     -0.01880457    0.16119478     0.00000000     0.50784994     
1.22500000     1.42451229     -0.01864845    0.16052192     0.00000000     0.50574235     
1.23000000     1.42441936     -0.01849363    0.15985189     0.00000000     0.50364358     
1.23500000     1.42432720     -0.01834009    0.15918467     0.00000000     0.50155358     
1.24000000     1.42423580     -0.01818784    0.15852025     0.00000000     0.49947233     
1.24500000     1.42414516     -0.01803685    0.15785862     0.00000000     0.49739978     
1.25000000     1.42405528     -0.01788713    0.15719976     0.00000000     0.49533589     
1.25500000     1.42396614     -0.01773865    0.15654367     0.00000000     0.49328063     
1.26000000     1.42387774     -0.01759140    0.15589032     0.00000000     0.49123396     
1.26500000     1.42379008     -0.01744539    0.15523972     0.00000000     0.48919584     
1.27000000     1.42370314     -0.01730058    0.15459185     0.00000000     0.48716624     
